Id,Sales
879066,5359.079
37135,6367.9395
285919,9324.906
744348,12004.175
556250,6074.0527
702857,6114.307
648596,12148.932
3915,8674.785
939798,8121.4097
460359,7661.9707
52386,10784.179
80864,10043.751
60534,7056.537
860712,7418.6426
677333,8849.456
1016282,10299.647
91930,9819.614
11003,9957.434
635859,8570.353
427792,10810.35
174845,8536.049
429798,7483.4224
686822,7044.7104
191678,13496.032
398480,13428.076
987753,7628.2075
1011557,12821.025
422663,7644.4443
405989,8777.922
185599,6158.4907
170978,7529.4946
645402,6755.008
257677,10294.027
217035,11192.719
878522,10920.313
683545,11282.539
718723,9572.153
337610,7630.2515
874699,8969.453
378685,6545.3584
309197,7027.6846
231251,13132.973
701881,8388.567
123358,7560.896
298862,6783.1724
465184,8443.68
998154,9914.647
321515,4606.7173
831238,9124.283
331595,6263.575
642322,8166.334
190723,8633.445
611837,8233.82
744397,11002.456
437649,7554.1465
186104,8955.736
589867,11634.93
532624,7835.6025
910098,7727.456
45135,9823.87
649178,7235.5073
752315,8616.731
127563,11589.172
798838,13157.233
837021,7261.2637
880045,8164.754
264710,10559.373
116415,11104.472
634702,12785.6875
450328,8680.4
792466,11739.694
614237,5818.599
208161,6083.719
863694,8519.885
366634,8820.081
896862,12676.761
342531,9966.184
620434,6259.5083
254534,7576.1704
329705,9393.717
919220,8398.032
945686,11917.859
917134,4321.9893
291332,15397.506
193051,8413.047
696139,6407.2773
770312,6946.2007
901382,8440.946
762394,7983.422
32719,11596.894
725842,6302.359
1002574,8383.419
898419,8312.949
601226,8810.169
291050,9927.509
608673,7038.705
344789,9239.402
728690,6477.2334
553233,6667.7017
842536,9300.11
501842,10254.084
530218,10950.377
3900,5599.796
66516,11268.219
785023,6417.542
229534,11244.315
7972,9601.323
444040,13924.724
784118,8496.615
186544,7483.0874
356115,8628.192
713972,7547.3657
426800,8491.042
319229,7021.7666
603871,9070.26
96693,8608.654
159498,5032.281
930086,10286.083
938761,7548.641
768828,9302.514
465084,6183.1777
739991,12185.738
297524,11034.609
338144,8432.376
947660,16352.108
560974,8560.23
777183,8093.4927
106038,8746.213
716753,11539.555
705737,6199.9263
619163,6065.6387
249318,8528.983
429290,9216.199
441255,5834.5864
769769,7438.8843
765174,7942.8535
901897,10605.109
1007374,9796.717
259231,7614.9697
533688,10184.617
346936,8113.8413
707002,6418.745
673103,8683.566
107675,9793.933
464562,11466.471
943485,9814.324
858750,11468.198
812746,10230.044
589554,7851.005
371569,11031.549
963052,10323.468
611909,7891.7476
434050,7986.238
978489,10158.113
264855,9341.075
97503,9285.079
808037,11752.491
362229,8889.071
857340,10392.334
14489,7784.51
464758,9526.6455
324649,9061.8545
947849,8342.015
361717,8775.566
663746,5958.164
82575,8248.246
374521,13699.455
846198,10869.543
384193,7862.777
218398,6906.225
796248,9299.265
787249,8780.352
250864,11347.054
645288,7188.249
654987,7980.333
573253,7506.6133
117120,5822.8105
626874,12423.007
586838,11064.259
1000997,9752.323
454724,9176.198
457707,6749.597
596626,7891.218
296201,8477.697
857529,8360.133
517262,5933.538
440692,9258.198
477285,8703.898
807203,11156.233
945611,9792.967
270697,8923.007
762007,13860.689
298397,7757.499
276156,7226.816
108641,13009.369
67970,7532.859
647059,10135.661
673878,5038.0137
420525,9898.123
754005,10298.393
429524,7294.3564
800468,7787.2085
196081,9033.672
1014844,7432.1396
632621,9155.16
146584,10338.881
191179,13812.347
102967,5790.0986
403689,9140.455
736466,5144.503
442419,16041.099
979556,6095.9272
753268,10321.272
889868,10957.594
13092,9806.689
337833,10862.727
576842,7221.001
285792,7543.221
23263,4736.5044
534485,7038.63
118779,7562.0327
466207,6879.5024
398959,9796.266
845162,8388.685
670308,7739.512
568387,8726.602
64332,7467.982
65706,9644.018
711426,11949.864
804263,10969.818
909408,7928.8394
309227,6155.1514
80854,12375.065
508623,12806.432
306162,7796.808
491399,10275.507
105483,5782.493
495741,10974.042
46037,6554.6016
898587,5776.642
524487,8069.0757
258967,5846.574
391717,10660.297
262966,7971.2373
753825,11228.597
729222,10495.416
190860,11118.806
899236,11329.588
169180,8112.794
736390,12082.809
678464,21559.46
860295,12753.961
617262,9600.64
259202,4527.249
337050,8461.895
89030,11651.183
487986,8330.912
59391,7653.566
804555,13653.208
181523,8061.4536
358270,13765.123
248175,23392.686
911528,5785.68
556795,9387.726
9291,7435.384
967750,5563.856
52961,11709.316
132041,7871.233
729366,11970.391
622800,11944.695
888144,10171.926
244711,8964.56
566828,9162.271
378153,9142.093
718658,8465.209
987043,5484.8936
831191,8539.839
321268,10131.103
304817,10606.597
961994,7709.6934
768411,7401.775
804835,6136.648
177118,9085.709
453170,7068.937
143873,6887.9395
711030,5552.1567
65897,9681.788
741781,6726.4717
252037,7714.908
192390,8365.788
564137,10329.1045
415428,1621.0226
658386,8498.247
770186,8553.087
235712,8070.6895
161643,8758.244
822788,8702.311
308335,9687.621
755944,10153.957
672075,9933.04
613775,6972.269
479542,4801.4937
625803,8837.395
355332,9861.627
903574,7162.8906
607869,6595.7056
934662,4138.474
869179,11360.052
985319,8963.334
577452,11857.733
725065,8932.088
527499,7673.9478
4882,10232.511
616116,7891.766
971875,6416.911
214208,11369.831
627511,8385.438
815168,9025.873
135216,11331.19
94175,17926.523
223546,8150.2812
729127,7112.751
11301,9136.682
166838,9018.244
938716,8121.3315
598140,6530.681
536581,10260.709
478618,5736.572
326671,9018.929
59867,5100.407
101559,7446.7036
292746,4691.8574
961605,12535.305
796049,7001.8765
694223,17699.107
451632,16625.572
183381,6837.3037
366200,8463.236
730918,9025.094
812598,8673.046
907222,8779.34
821158,12006.505
522695,9873.266
318832,12522.955
24817,6482.822
755692,9461.864
24225,7317.8857
977687,9541.648
172749,10015.311
612526,8377.273
896891,8826.926
328317,8945.508
416359,9514.41
364282,10383.527
698027,12067.57
656792,7840.631
297118,11388.083
806561,12193.771
282500,8640.706
192887,9779.456
207709,8864.703
1012976,12066.191
270884,10069.053
293709,7691.86
181915,7910.7427
980294,8575.037
797346,7858.2676
94057,12942.441
431841,9271.667
522400,10436.418
838149,8391.619
175453,11154.868
444199,6433.452
953744,10639.342
834671,12427.904
936868,11174.963
157127,13221.526
195962,10314.206
746622,6058.5786
860798,18052.225
655675,12283.481
1005899,11886.398
347991,20028.05
818388,12393.573
767265,9729.383
481507,10795.269
4757,14053.492
125548,13214.826
308420,14130.694
351878,14694.351
990098,9604.493
608369,8485.042
522723,8089.052
580863,9757.317
306288,6077.5317
992032,12922.883
867450,9513.149
978200,8423.721
300820,7625.454
262920,12201.563
552648,8578.951
97713,7389.0
129214,8956.607
537855,7012.6763
320669,6258.1255
859595,8835.244
367187,5765.677
321680,7503.5996
53814,7691.8193
363849,9351.969
682605,10616.731
144850,10785.242
186434,10673.756
886430,7435.551
916068,7741.836
518710,12603.077
870977,9580.557
376557,8551.323
974317,8791.706
851500,6600.475
715999,13532.313
521470,5202.1304
495019,13139.8955
738301,9643.833
359536,5918.1416
303674,7293.504
693411,9529.032
535592,7945.4966
209301,6656.3477
224128,10579.491
554480,11271.41
2325,14253.379
870233,9803.237
692563,11154.047
906789,4329.2554
617746,7373.8247
54398,9417.591
836194,6965.9087
245075,9758.206
251747,9058.689
814500,9131.467
878848,7245.8364
482088,6796.4683
303019,14332.279
29412,12406.867
133148,8241.488
61663,6736.7627
258585,10302.654
22829,13801.051
743377,10877.903
753831,6810.882
916762,8152.3706
684736,13879.631
497953,9480.297
267679,7901.25
949287,9124.914
534539,7011.2295
756467,9197.437
172910,12558.279
157591,6403.765
644325,6320.3584
128947,6431.497
1003869,8314.756
14952,12419.448
265973,9875.101
37062,11004.645
68422,16629.799
855143,9325.564
671536,16439.63
146475,15404.536
518974,8610.404
720099,8291.736
179495,5574.4326
921810,9626.407
71312,8317.119
